,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,Wine Year
1752,1752,US,"This is a straightforward quaffer. Aromas of herbs, jasmine and stone fruit lead to sugary-sweet fruit flavors.",Late Harvest,84,10.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Washington Hills 2014 Late Harvest Riesling (Washington),Riesling,Washington Hills,2014
1756,1756,US,"This wine is a field blend of Syrah, Mourvèdre and Grenache from Bishop's vineyard. Aromas of herbs, berry, cumin and wet copper penny are followed by smooth-feeling dark berry flavors with a tart, mesquite-filled finish.",Bishop's Block,84,29.0,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Crayelle Cellars 2013 Bishop's Block Red (Ancient Lakes),Rhône-style Red Blend,Crayelle Cellars,2013
1766,1766,US,"All Merlot, this pale-pink wine offers aromas of herbs, grass and cherry. Though the label suggests otherwise, it drinks off dry, with pit-fruit flavors.",Dry,84,18.0,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Cave B 2014 Dry Rosé (Ancient Lakes),Rosé,Cave B,2014
1774,1774,US,"Dark, dry and puckering with a stewed plum aroma and flavor, this wine offers a depth of tannin and herbal notes. A blend of 70% Cabernet Sauvignon, 22% Cabernet Franc and 8% Merlot, it spent 20 months in French oak.",Bellarina,84,22.0,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Ehret 2010 Bellarina Meritage (Knights Valley),Meritage,Ehret,2010
1780,1780,US,"This Southern Rhône-style blend is roughly half Mourvèdre, 31% Grenache and 17% Cinsault. It's a delicious match-up, with the Mourvèdre underscoring the minerality, and providing grip and texture around the racy red berry flavors of the other two grapes. The wine has a spine of steel, suggesting it will age through 20206–2022.",Stone Tree SoRhô,91,33.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Helix by Reininger 2011 Stone Tree SoRhô Red (Columbia Valley (WA)),Rhône-style Red Blend,Helix by Reininger,2011
1811,1811,US,"Savory aromas and flavors combine with a soft texture in this full-bodied wine. It smells smoky and roasted, tastes like pomegranate and cherry juice and has a streak of acidity but not much tannin.",Reserve,85,14.0,California,California,California Other,Jim Gordon,@gordone_cellars,Red Rock 2013 Reserve Pinot Noir (California),Pinot Noir,Red Rock,2013
1830,1830,US,"The Blanc de Noir name would suggest it's a sparkling wine; it is not. The label also reads Estate White Wine. It is not. Rather, it is a rosé of Pinot Noir, lightly orange in color. Flavors recall a Pop Tart sort of pastry, simple and slightly sweet.",Blanc de Noir,84,15.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Cardwell Hill 2014 Blanc de Noir Pinot Noir (Willamette Valley),Pinot Noir,Cardwell Hill,2014
1832,1832,US,"Vanilla and maple aromas lead to overtly fruity red cherry flavors with a touch of sweetness and a soft texture. It's pleasant to drink for those looking for a soft touch, with very mild acidity and no tannin to speak of.",Secret Agent,84,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Alias 2013 Secret Agent Red (California),Red Blend,Alias,2013
1840,1840,US,"From the winery's estate Bell Mountain ranch, a stretch of vineyard that reaches through Alexander Valley to the Russian River Valley, this is mostly Cabernet Sauvignon, blended with Merlot, Cabernet Franc and Petit Verdot. Tight in cranberry and puckering oak, it needs to air before enjoying.",Bell Mountain Vineyard,84,42.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Medlock Ames 2011 Bell Mountain Vineyard Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Medlock Ames,2011
1841,1841,US,"With aromas like sweet vanilla and candied cherries, and similarly syrupy flavors, this might make a better after-dinner wine than a table wine. The acidity and tannins are very subdued, so the overt fruitiness and oaky sweetness take over.",The Other,84,13.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Peirano 2012 The Other Red (Lodi),Red Blend,Peirano,2012
1856,1856,US,"An overpowering aroma of cured meat on the nose recalls walking into an Italian deli, something one associates more readily with Cal-Ital varieties. Super tannic on the palate, the wine is slightly bitter and perhaps underripe.",Hendry Vineyard,83,55.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Hendry 2011 Hendry Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hendry,2011
1858,1858,US,"This GSM blend is soft and muted. It falls flat, with dull fruit and a wash of chocolate.",Cotes du Rogue,83,29.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Merrill Cellars 2012 Cotes du Rogue G-S-M (Oregon),G-S-M,Merrill Cellars,2012
1867,1867,US,"A stunning Syrah with 4% Viognier that's almost black in color and aching with deep, dark cherry and black licorice surrounded by a lush, dense herb garden. This is a heavy, rich California Syrah, practically a velvet curtain, that will appeal to Rhône aficionados and anyone with a taste for something big, accentuated by a smoky finish.",The Brawler,93,36.0,California,Calaveras County,Sierra Foothills,Virginie Boone,@vboone,Prospect 772 2009 The Brawler Syrah-Viognier (Calaveras County),Syrah-Viognier,Prospect 772,2009
1868,1868,US,"Quilceda's single-vineyard Bordeaux-style blend is 76% Cabernet Sauvignon, 14% Cabernet Franc, 7% Merlot and 3% Petit Verdot, from a vineyard just across the road from Champoux. Dusty and fragrant, it suggests soft leather, toast, caramel and coconut, hiding its fruit at first in a wash of luxurious barrel flavors. That fruit emerges with some hours of decanting, a tart and racy mix of berry and sweet tomato.",Palengat Red Wine,93,85.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Quilceda Creek 2008 Palengat Red Wine Red (Horse Heaven Hills),Red Blend,Quilceda Creek,2008
1873,1873,US,"The Doyenne Métier generally drinks very well right out of the chute, and this 2009 is no exception. Supple and concentrated, this blend of 51% Grenache, 32% Mourvèdre and 17% Syrah is an absolute riot of mixed berry fruit scents and flavors. Full, lush, dense and quite long in the finish, it's a spicy, brilliant bit of winemaking. Can it age? Undoubtedly. But good luck keeping your hands off it!",Métier,93,36.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Doyenne 2009 Métier Red (Yakima Valley),Rhône-style Red Blend,Doyenne,2009
1881,1881,US,"This ups the percentage of Cabernet to 60%, with 25% Syrah, 14% Petit Verdot and just 1% Cabernet Franc. Released almost a full year later than the other Long Shadows reds, it is well-integrated and focused, with high-toned black cherry fruit set in dusty tannins. Scents of sandalwood drift through, along with cocoa and spice. As good or even better than the outstanding 2006.",Red Wine,93,50.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Chester Kidder 2007 Red Wine Red (Columbia Valley (WA)),Red Blend,Chester Kidder,2007
1888,1888,US,"An outstanding Hellion, 44% Primitivo, 31% Petite Sirah and 25% Zinfandel. It's a complete wine, with a full array of superbly rich berry fruits, a hint of chocolate and fine-grained tannins. Delicious right out of the bottle, but it could be cellared for at least another five years.",The Hellion,93,22.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Angel Vine 2009 The Hellion Red (Columbia Valley (WA)),Red Blend,Angel Vine,2009
1896,1896,US,"This is a high acid style of Chardonnay, reflective of a vintage that was one of the coolest in a decade or more. Crisp and detailed, this offers a classy mix of citrus and apple, wet stone and light baking spices. Hints of nutmeg and cinnamon adorn the fruit, which lingers gently through a citrusy finish.",Reserve,89,30.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Ponzi 2005 Reserve Chardonnay (Willamette Valley),Chardonnay,Ponzi,2005
1913,1913,US,"There is a creamy, leesy mouthfeel to this estate-grown Riesling, whose residual sugar is masked with acidity. Tart apple and pear fruit flavors finish with lighter notes of candied orange and citrus.",Estate,87,14.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,AntoLin Cellars 2011 Estate Riesling (Yakima Valley),Riesling,AntoLin Cellars,2011
1921,1921,US,This is a rare beast from Washington—single vineyard Tempranillo aged in neutral oak coming in at less than 13% alcohol. It's soft and light with notes of red fruit and refreshing acidity that drops off on the back half.,E Cor Si Move Tempranillo 24K Vineyard,87,26.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Cor Cellars 2011 E Cor Si Move Tempranillo 24K Vineyard Tempranillo (Wahluke Slope),Tempranillo,Cor Cellars,2011
1939,1939,US,"Aged in 68% new French oak, the barrel notes take center stage here with aromas of toast and spice. The palate is creamy and full with a viscous feel, tapering in concentration toward the finish.",Reserve,87,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Waterbrook 2011 Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Waterbrook,2011
1947,1947,US,"This is a fine, all-purpose red blend, mostly Cabernet, with time in one-third new French and American oak. Heavily charred, smoky and earthy, it's got a fair amount of dark cassis fruit to carry all the barrel toast and finishes with some notes of bark and stem.",Cow Catcher,87,24.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Dumas Station 2010 Cow Catcher Red (Walla Walla Valley (WA)),Red Blend,Dumas Station,2010
1953,1953,US,"Though this is pure Cabernet from an excellent Walla Walla vineyard, the flavors seem rather harsh and quite astringent. The dark fruit is cloaked in bitter, chalky tannins that require some rich food to cut through.",Les Collines Vineyard,86,32.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,SuLei 2010 Les Collines Vineyard Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,SuLei,2010
1966,1966,US,"Sporting a much-improved label design, the 2009 Natasha brings pungent, assertive scents of tomato leaf, pepper and moist earth. Sharp and focused, the fruit is there, though it's the leaf and earth components that stand out. For its earthy style, it's a well-made and complex offering.",Natasha,88,40.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Youngberg Hill Vineyards 2009 Natasha Pinot Noir (Willamette Valley),Pinot Noir,Youngberg Hill Vineyards,2009
1974,1974,US,"This is the most complete of the four Prince Hill clonal selection bottlings. It has flavors of cherry, Dr. Pepper, cherry candy and a hint of incense. It's a pleasant, easy-drinking wine best consumed while still young.",Prince Hill Pommard,88,50.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Erath 2010 Prince Hill Pommard Pinot Noir (Dundee Hills),Pinot Noir,Erath,2010
1996,1996,US,"Despite its single-vineyard designation, this watery effort could be from anywhere. Thin, dilute, barely ripe strawberry fruit vanishes quickly once in the mouth, and there is little trace of any barrel flavors from aging in 20% new French oak.",Guadalupe Vineyard,84,25.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Wildewood 2013 Guadalupe Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Wildewood,2013
2008,2008,US,"This is soft and easy in texture, light in flavors and slightly sweet. Light to medium bodied, it has very little tannin or astringency, is low in acidity and quiet on the finish.",HomeFront,84,15.0,California,California,California Other,Jim Gordon,@gordone_cellars,Murphy-Goode 2012 HomeFront Red (California),Red Blend,Murphy-Goode,2012
2024,2024,US,"Sourced from a single vineyard, this spent 17 months in French oak, 38% new. It's light and spicy, with pleasant fruit flavors of apple and pear.",Elton,87,45.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2011 Elton Chardonnay (Eola-Amity Hills),Chardonnay,Willamette Valley Vineyards,2011
2073,2073,US,"Tangy berry/black cherry fruit is backed with lots of acid and hints of earthy funk. It's not vegetal but it is definitely herbal, a complex and flavorful reserve that falls right between Balboa's regular Syrah and the Sayulita.",Reserve,90,28.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Balboa 2007 Reserve Red (Columbia Valley (WA)),Red Blend,Balboa,2007
2077,2077,US,"Opulence is the reserve Syrah, a firm and juicy wine with dark, smoky, wild berry flavors. It's gamy and brambly, chewy and tart, and it has the length and polish to sustain your interest through glass after glass.",Opulence,90,40.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Coeur d'Alene 2006 Opulence Syrah (Washington),Syrah,Coeur d'Alene,2006
2090,2090,US,"A nicely crafted debut from a new Walla Walla boutique. The blend—two thirds Cabernet Sauvignon, one third Syrah—is becoming a classic in Walla Walla. This wraps delicious caramel around bright berries and plums. It's nicely focused, smooth and compact, but feels like a wine that will flesh out with a bit more bottle age.",Beet Red,90,19.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,SuLei 2007 Beet Red Red (Walla Walla Valley (WA)),Red Blend,SuLei,2007
2109,2109,US,"This Cab/Merlot/Syrah blend is very much in a Washington style, with crisp acids and tart berry and currant flavors, wrapped in chocolate and showing a few specks of pepper, presumably from the Syrah. It's solid and well-made and a good example of how Oregon vintners are breaking out of the Pinot box.",Red Wine,87,17.0,Oregon,Columbia Valley (OR),Oregon Other,Paul Gregutt,@paulgwine ,Brimstone 2006 Red Wine Red (Columbia Valley (OR)),Red Blend,Brimstone,2006
2117,2117,US,"Tart and juicy, this nicely balanced Riesling mixes fruit flavors of orange, Meyer lemon and tangerine. The acids are natural and tangy, and the overall balance is just right.",Lawrence Vineyards Dry,88,20.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gård 2010 Lawrence Vineyards Dry Riesling (Columbia Valley (WA)),Riesling,Gård,2010
2118,2118,US,"A blend of approximately 50% Cabernet Sauvignon, with Merlot, Malbec, Syrah and Petit Verdot making up the remainder, this barbecue-ready wine is scented with dried herb and forest floor components. Brambly berry fruit and tart acids work to balance out the earthy tannins.",Quarry Butte Destiny Ridge Vineyards Estate Grown,88,25.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Alexandria Nicole 2009 Quarry Butte Destiny Ridge Vineyards Estate Grown Red (Horse Heaven Hills),Red Blend,Alexandria Nicole,2009
2128,2128,US,"This is 75% Merlot, with Cabernet, Malbec and Syrah comprising the other 25%. Despite all of the components, it tastes like there is a bit of a hole. The fruit is soft and plummy, and the overall balance is excellent.",Reserve,88,45.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Obelisco Estate 2009 Reserve Merlot (Red Mountain),Merlot,Obelisco Estate,2009
2144,2144,US,"Light aromas of red fruit, game and vanilla are followed by quite tart puckering fruit flavors. It needs food to counteract the screaming acid.",Goose Ridge Vineyard,84,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Oak Knoll 2011 Goose Ridge Vineyard Barbera (Columbia Valley (WA)),Barbera,Oak Knoll,2011
2152,2152,US,"This light-colored and light-bodied wine combines an earthy, metallic aroma with mildly fruity, candied flavors. Its texture is mild and smooth.",Lot 6,84,11.0,California,California,California Other,Jim Gordon,@gordone_cellars,Grayson 2015 Lot 6 Merlot (California),Merlot,Grayson,2015
2156,2156,US,"The aromas are light, with notes of white flowers, green herbs and peach. The flavors are tart and elegant in style, seeming quite watery in concentration.",Falcon Series Estate,84,21.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Kestrel 2015 Falcon Series Estate Viognier (Yakima Valley),Viognier,Kestrel,2015
2163,2163,US,"High-toned aromatics complement aggressive, unintegrated flavors of raw wood. It's lumber, not toast, that you taste, along with bitter tannins and little evidence of ripe fruit.",Premier Cuvée,84,85.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Wetzel Estate 2012 Premier Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Wetzel Estate,2012
2167,2167,US,"Strawberry and watermelon highlight a light, creamy palate of vanilla and lemon peel, the freshness maintained by moderate acidity.",Pauline's Vineyard Grenache,90,24.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Kokomo 2016 Pauline's Vineyard Grenache Rosé (Dry Creek Valley),Rosé,Kokomo,2016
2172,2172,US,"This 100% varietal wine brings lightly styled aromas of green grass, herb, snap pea and whiffs of green pepper. The palate is full bodied and textured, bringing a sense of richness but never losing its balance. It lingers on the finish.",Reserve,90,35.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Matthews 2016 Reserve Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,Matthews,2016
2177,2177,US,"Medium in build and lengthy with layers of flavor, this vineyard-designate offers a wealth of rhubarb, pomegranate, cherry and black tea, the background built around strong notions of forest floor.",Frere Vineyard,90,60.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Peter Paul Wines 2014 Frere Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Peter Paul Wines,2014
2182,2182,US,"Don't let the playful label fool you, this is an impressive, dry wine. Big, very ripe and fruity, it also has a good grippy texture due to firm tannins and acidity that make it appetizing. The color is quite dark, and the black cherry, blackberry and raspberry flavors run deep.",Ryker Red; Pilot Ridge Vineyard; Estate Grown,90,25.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Hart 2 Hart 2014 Ryker Red; Pilot Ridge Vineyard; Estate Grown Red (El Dorado),Bordeaux-style Red Blend,Hart 2 Hart,2014
2190,2190,US,"Slightly sour Meyer-lemon-pith aromas meet with honeysuckle and yellow pear on the nose of this bottling by veteran Bob Lindquist. There is a strong sizzle of acidity on the sip, where green-apple flavors meet with tart nectarine and lime-peel zip. It's very fresh and food-friendly.",Y Block,89,20.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Qupé 2015 Y Block Chardonnay (Santa Barbara County),Chardonnay,Qupé,2015
2191,2191,US,"Black-cherry-cola aromas along with lots of licorice and Dr Pepper spice show on the nose of this bottling from a relatively new winery in northeast Paso Robles. There is slight sweetness to the palate, with baked cherry and baking-spice flavors. Accents of dried blackberry, leather, dried meat and purple flower add complexity.",Reserve,89,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Record Family Wines 2014 Reserve Syrah (Paso Robles),Syrah,Record Family Wines,2014
2192,2192,US,"Boisterous blueberry, black cherry and black-currant aromas make for a hedonistic nose on this bottling that also offers a sultry line of cocoa, espresso and clove spice. The palate shows similar layering, from black-cherry compote to herbs to black olives, proving unique overall.",Estate,89,34.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Sculpterra 2014 Estate Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Sculpterra,2014
2193,2193,US,"This wine is a unique in the state blend and features Cinsault (35%), Grenache (35%) and Mourvèdre. Pale peach in color with a slight bronze tinge, the aromas are light, with notes of strawberry, citrus zest and mineral. The flavors are dry, sleek and high acid. It's a perfect summer wine.",McKinley Springs Vineyard,89,24.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Syncline 2016 McKinley Springs Vineyard Rosé (Horse Heaven Hills),Rosé,Syncline,2016
2195,2195,US,"Fresh-squeezed lemon and jalapeño open the bouquet of this wine, kosher-made in Berkeley by Covenant. With the right pairing, it'll sing, offering medium texture and a lengthy finish, the acidity balanced and in keeping with the fresh elements of tropical fruit and citrus.",Allan Nelson Vineyard,88,24.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Red C 2014 Allan Nelson Vineyard Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,Red C,2014
2196,2196,US,"Floral aromas like lilac and lavender, then dry and substantial flavors like blueberry and boysenberry give this full-bodied wine an interesting personality. It tastes well structured with acidity and tannins, so it's well balanced and has an appetizing sense of reserve that will be great at the table.",Heringer Vineyard,88,25.0,California,Yolo County,Central Valley,Jim Gordon,@gordone_cellars,Rock Wall 2012 Heringer Vineyard Teroldego (Yolo County),Teroldego,Rock Wall,2012
2197,2197,US,"Rich aromas of black cherry, anise seeds and buttered violets greet the nose on this dense bottling of a grape that rarely gets solo treatment. The palate is tarry and grippy, with dried sour cherries, boysenberry, black pepper and tightly grained cedar flavors that approach pine sap.",Curtis Vineyard,88,30.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara Winery 2012 Curtis Vineyard Petit Verdot (Santa Ynez Valley),Petit Verdot,Santa Barbara Winery,2012
2201,2201,US,"This solidly good block selection shows shy aromas of dark red and purple fruit with a touch of earth and asphalt. The palate is tart and tight, with a bit of sagebrush nuance.",Henry Ayrton's Block Rapley Trail Vineyard,88,85.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Thomas Fogarty 2012 Henry Ayrton's Block Rapley Trail Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty,2012
2203,2203,US,"A blend of predominantly Merlot and Syrah, this wine offers aromas of raspberries, herbs, plum and vanilla. The flavors are sweet, plump and juicy, delivering a lot of bang for the buck.",Hot to Trot,88,10.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,14 Hands 2013 Hot to Trot Red (Columbia Valley (WA)),Red Blend,14 Hands,2013
2206,2206,US,"With 58% Mourvèdre, 20% Syrah, 20% Grenache and 2% Counoise grapes from the dry-farmed, head-pruned Old Oak Vineyard (formerly Sheep Camp Creek), this wine shows dried black cherries, pencil lead, uncrushed cloves and nutmeg on the nose. The palate is flatter, with cooked cherries as well as other dried purple and red fruits.",Oveja Negra,88,48.0,California,Paso Robles Willow Creek District,Central Coast,Matt Kettmann,@mattkettmann,Lone Madrone 2013 Oveja Negra Red (Paso Robles Willow Creek District),Rhône-style Red Blend,Lone Madrone,2013
2210,2210,US,"Concentrated in toasted marshmallow and juicy blackberry, this is a large, full-bodied wine marked by puckering tannins that still need time to resolve. Powerfully built, it's big on flavor and intensity, with vanilla on the finish.",Reserve,88,40.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Murphy-Goode 2012 Reserve Zinfandel (Alexander Valley),Zinfandel,Murphy-Goode,2012
2215,2215,US,"Lime pith, sharp gray slate, steel and a warmer lemon-curd aroma show on the nose of this wine from a region between Morgan Hill and Gilroy. Apples and pear-skin bitterness mark the palate that grows riper through the sip.",Estate Reserve,88,30.0,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Jason-Stephens 2012 Estate Reserve Chardonnay (Santa Clara Valley),Chardonnay,Jason-Stephens,2012
2222,2222,US,"The toast, freshly ground coffee, dark chocolate and cherry aromas pop. Plum and chocolate flavors are smooth in feel and linger on the finish.",Grand Estates,88,12.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Crest 2013 Grand Estates Merlot (Columbia Valley (WA)),Merlot,Columbia Crest,2013
2289,2289,US,"This meaty, oaky Sauvignon Blanc, with a trace of Semillon, is slightly bitter with grassy and lemony aromas and flavors coming to the fore.",J.D. Hurley,84,20.0,California,Santa Clara Valley,Central Coast,Virginie Boone,@vboone,Martin Ranch 2011 J.D. Hurley Sauvignon Blanc (Santa Clara Valley),Sauvignon Blanc,Martin Ranch,2011
2298,2298,US,"The fruit scents explode from the glass, showing raspberries, blueberries, cherries and plums in profusion. There is more stuffing, especially apparent in the nose and also in the mouth, than in the winery's varietal blends. The back end of the wine suggests bread and chocolate, light hints of toasted almond and cinnamon spice.",Solstice,90,40.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Edmonds Winery 2007 Solstice Red (Horse Heaven Hills),Red Blend,Edmonds Winery,2007
2303,2303,US,"This big, buttery Chardonnay will especially appeal to those who like California-style flavors; here enhanced with the firm acids characteristic of Washington State. There is a generous streak of vanilla cream, a soft and very buttery mouthfeel, yet the fruit has enough precision and focus that the wine does not lose definition. Delicious now, this is a wine to drink over the next three or four years.",Conner Lee Vineyard,90,18.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Arbor Crest 2006 Conner Lee Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Arbor Crest,2006
2325,2325,US,"Lemon and herb aromas suggest a lean, crisp wine but the flavors are fairly ripe and the texture is rich and soft. Appley, floral and not at all tart, this is pleasant to sip.",Authentic,85,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Gnarly Head 2013 Authentic White (California),White Blend,Gnarly Head,2013
2328,2328,US,"This airy confection has aromas of lemon and vanilla, then almost sweet flavors of butterscotch and lemon cream on a fairly soft texture. It is light to medium bodied.",Vineyard Selection,85,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Angel's Cup 2013 Vineyard Selection Chardonnay (California),Chardonnay,Angel's Cup,2013
2348,2348,US,"Herb, currant, vanilla and tire-rubber aromas are at the fore. The blackberry flavors drink off dry, sweetening toward the finish.",The Expedition,85,15.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Canoe Ridge 2013 The Expedition Merlot (Horse Heaven Hills),Merlot,Canoe Ridge,2013
2357,2357,US,"Perfumed in cinnamon-flowery aromatics, this well-valued Zin is softly spiced, lush and smooth, drinkable with black cherry flavor and plenty of personality.",Ancient Vine,88,15.0,California,Contra Costa County,Central Coast,Virginie Boone,@vboone,Cline 2012 Ancient Vine Zinfandel (Contra Costa County),Zinfandel,Cline,2012
2366,2366,US,"Spicy red currant fruit comes up quickly, backed with the grape's signature accents of stem and earth. There's a residual flavor of slightly bitter tomato leaf.",Stillwater Creek Vineyard,88,28.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Novelty Hill 2010 Stillwater Creek Vineyard Malbec (Columbia Valley (WA)),Malbec,Novelty Hill,2010
2367,2367,US,"This is the winery's Left-Bank-Bordeaux-style blend, three quarters Cabernet Sauvignon. It has a pleasing mix of red and black fruits, licorice, toast and smoke, and spent two and a half years in French oak, 60% new. The wine is quite tasty and drinking well, though the blend lacks focus.",The Main Event,88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Scarborough 2010 The Main Event Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Scarborough,2010
2370,2370,US,"Don't let the label mislead you; this is not a dessert wine. It's off-dry, with a pretty suite of lemon, orange and citrus peel flavors. A whiff of tea runs through the aromas, and a bit of lemon oil in the finish.",Late Harvest,88,11.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Hogue 2012 Late Harvest Riesling (Columbia Valley (WA)),Riesling,Hogue,2012
2375,2375,US,"The top cuvée from Mercer Estates, this reserve is a Bordeaux-style blend based upon 64% Merlot, the rest a mix of Cabernet Sauvignon, Malbec and Petit Verdot. A firm entry introduces a solid mid-palate with a mix of black fruits, coffee and toast. The finish is clean and gentle, with moderate persistence.",Cavalie Reserve,88,40.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Mercer 2010 Cavalie Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Mercer,2010
2377,2377,US,"This young, stainless steel-fermented Chardonnay has a beery hoppiness to the aromas, leading into a tart, juicy and crisp palate of lime and grapefruit. The acids taste of wet stone, and that vivid minerality brings dimension and lift to the finish.",Unoaked,88,13.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Airfield Estates 2012 Unoaked Chardonnay (Yakima Valley),Chardonnay,Airfield Estates,2012
2385,2385,US,"Quite sweet and quite delicious, this ripe and fruity wine has lots of black plum, dried cherry and raisin flavors, a soft texture and a lingering, berry-pie finish.",Ten Zin,87,30.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Deaver 2013 Ten Zin Zinfandel (Amador County),Zinfandel,Deaver,2013
2395,2395,US,"This late release sourced from several vineyards dating back to the 1970s and 1980s is thin on the palate, with tart plum, herb, orange peel and of pineapple hints. Low alcohol reflects the cool vintage.",Selection,87,27.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Ransom 2013 Selection Pinot Noir (Eola-Amity Hills),Pinot Noir,Ransom,2013
